[1]အရူပပရိဂ္ဂဟ အခန်	[1]无色摄受章
[1]အရူပပရိဂ္ဂဟ အခန်/[109]ရှေးဦးစွာ သိမ်းဆည်းရမည့် ကာမာဝစရ နာမ်တရား	[1]无色摄受章/[109]首先应摄受的欲界名法
[1]အရူပပရိဂ္ဂဟ အခန်/[125]တဒါရုံ အကြောင်း သိကောင်းစရာ	[1]无色摄受章/[125]关于彼所缘的应知事项
[1]အရူပပရိဂ္ဂဟ အခန်/[147]ရုပ်အတု (၁၀) မျိုး	[1]无色摄受章/[147]假色（10）种
[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း	[1]无色摄受章/[149]摄受五门心路名法的方式篇
[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ	[1]无色摄受章/[193]摄受离与无量名法的方式
[1]အရူပပရိဂ္ဂဟ အခန်/[213]မကောင်းအုပ်စု အကုသိုလ်ဇောဝီထိများကို သိမ်းဆည်းရှုပွားပုံ အပိုင်း	[1]无色摄受章/[213]摄受修习不善组不善速行心路的方式篇
[1]အရူပပရိဂ္ဂဟ အခန်/[220]မနောဒွါရ အကုသိုလ်ဇောဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ	[1]无色摄受章/[220]摄受意门不善速行名法的方式
[1]အရူပပရိဂ္ဂဟ အခန်/[246]ပဉ္စဒွါရ အကုသိုလ်ဇောဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ	[1]无色摄受章/[246]摄受五门不善速行名法的方式
[1]အရူပပရိဂ္ဂဟ အခန်/[65]စိတ်ပိုင်းဆိုင်ရာ သိမှတ်စရာ	[1]无色摄受章/[65]心方面的应知事项
[1]အရူပပရိဂ္ဂဟ အခန်/[81]စေတသိက်ပိုင်းဆိုင်ရာ သိမှတ်စရာ	[1]无色摄受章/[81]心所方面的应知事项
[1]အရူပပရိဂ္ဂဟ အခန်/[92]နာမ်တရားများကို သိမ်းဆည်းပုံအပိုင်း	[1]无色摄受章/[92]摄受名法的方式篇
[275] ရူပါရူပပရိဂ္ဂဟ အခန်	[275]色无色摄受章
[279]နာမရူပဝဝတ္ထာန အခန်း	[279]名色分别章
[279]နာမရူပဝဝတ္ထာန အခန်း/[305]ဣဋ္ဌာရုံ - အနိဋ္ဌာရုံ အယူအဆ	[279]名色分别章/[305]可意所缘-不可意所缘的观点
[279]နာမရူပဝဝတ္ထာန အခန်း/[318]ဥဿဒ ကိတ္တန ကထာ	[279]名色分别章/[318]增盛述说论
[347]ဣရိယာပထ အခန်းနှင့် သမ္ပဇဉ်အခန်း	[347]威仪章与正知章
[448]သတိပဋ္ဌာန်တရား (၄) ပါး အခန်း	[448]四念处法章
