[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ	[00A]特相 - 作用 - 现起 - 足处 应如何观察
[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း	[010]色（28）法 = 色蕴论章
[142]ဝိညာဏက္ခန္ဓကထာ အခန်း	[142]识蕴论章
[209]ဝေဒနာက္ခန္ဓကထာ အခန်း	[209]受蕴论章
[221]သညာက္ခန္ဓကထာ အခန်း	[221]想蕴论章
[227]သင်္ခါရက္ခန္ဓကထာ အခန်း	[227]行蕴论章
[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[292]သဗ္ဗစိတ္တသာဓာရဏ စေတသိက်အပိုင်း	[227]行蕴论章/[292]遍一切心心所篇
[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[317]ပကိဏ်း စေတသိက် အပိုင်း	[227]行蕴论章/[317]杂心所篇
[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[346]အကုသိုလ်စေတသိက် (၁၄) လုံး အပိုင်း	[227]行蕴论章/[346]不善心所（14）个篇
[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[522]သောဘဏစေတသိက် (၂၅) လုံး	[227]行蕴论章/[522]美心所（25）个
[227]သင်္ခါရက္ခန္ဓကထာ အခန်း/[587]ဗြဟ္မဝိဟာရ စေတသိက်များ	[227]行蕴论章/[587]梵住心所
[599]ပဋိစ္စသမုပ္ပါဒ်အင်္ဂါရပ်များ အခန်း	[599]缘起支分章
