[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)	[1]缘起篇 - 部分（甲）
[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[141]နိမိတ်ထင်ပုံ အပိုင်း	[1]缘起篇 - 部分（甲）/[141]相的显现 部分
[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[155] ပဋိသန္ဓေအကြောင်း သိကောင်းစရာ	[1]缘起篇 - 部分（甲）/[155]关于结生应知之事
[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[1]ပဋိစ္စသမုပ္ပါဒ်ဝိဘင်းပါဠိတော်	[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典
[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[213]အတ္ထနယ (၄) မျိုး = နည်း (၄) ထွေ	[1]缘起篇 - 部分（甲）/[213]四种义理趣＝四类方法
[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[247]အကြောင်း အကျိုး သိမ်းဆည်းပုံ - ပစ္စယပ	[1]缘起篇 - 部分（甲）/[247]因果的收摄方式 - 把握诸缘之智篇
[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[76] ကိလေသဝဋ် ကမ္မဝဋ် ဝိပါကဝဋ်၏ အစွမ်းဖြ	[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式
[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)/[88]အလုပ်စခန်းကို စတင်အားသစ်ပုံ	[1]缘起篇 - 部分（甲）/[88]重启用功、焕发新力的方式
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)	[337]缘起篇 - 部分（乙）
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[337]b ပဋိစ္စသမုပ္ပါဒ် ပထမနည်း အနုလောမပဋိစ္စ	[337]缘起篇 - 部分（乙）/[337]b 缘起 第一理趣 顺缘起
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[356] အဝိဇ္ဇာပစ္စယာ သင်္ခါရာ	[337]缘起篇 - 部分（乙）/[356]无明缘行
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[373]a ပဋ္ဌာန်းပစ္စည်းများ	[337]缘起篇 - 部分（乙）/[373]a 发趣诸缘
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[431] အဝိဇ္ဇာပစ္စယာ သင်္ခါရာ	[337]缘起篇 - 部分（乙）/[431]无明缘行
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[447]  သင်္ခါရပစ္စယာ ဝိညာဏံ	[337]缘起篇 - 部分（乙）/[447]行缘识
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[459]ဝိညာဏပစ္စယာ နာမရူပံ	[337]缘起篇 - 部分（乙）/[459]识缘名色
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[479]နာမရူပပစ္စယာ သဠာယတနံ	[337]缘起篇 - 部分（乙）/[479]名色缘六处
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[497] သဠာယတနပစ္စယာ ဖဿော	[337]缘起篇 - 部分（乙）/[497]六处缘触
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[506]ဖဿပစ္စယာ ဝေဒနာ	[337]缘起篇 - 部分（乙）/[506]触缘受
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[519] ဝေဒနာပစ္စယာ တဏှာ	[337]缘起篇 - 部分（乙）/[519]受缘爱
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[525] တဏှာပစ္စယာ ဥပါဒါနံ	[337]缘起篇 - 部分（乙）/[525]爱缘取
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[542]ဥပါဒါနပစ္စယာ ဘဝေါ	[337]缘起篇 - 部分（乙）/[542]取缘有
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[552] ဘ၀ပစ္စယာ ဇာတိ	[337]缘起篇 - 部分（乙）/[552]有缘生
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[554] ဇာတိပစ္စယာ ဇရာမရဏံ	[337]缘起篇 - 部分（乙）/[554]生缘老死
[337]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (ခ)/[592] ပဋ္ဌာန်းပစ္စည်း ဆက်သွယ်ပုံ	[337]缘起篇 - 部分（乙）/[592]发趣诸缘的关联方式
