# source	target_reldir	key	page	english_ref	subset
vol_2/markdown/前言1.md		前言1.md	0	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[1]a အရူပပရိဂ္ဂဟ အခန်း.md	[1]无色摄受章	[1]a	1	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[1]b ဝိပဿနာဉာဏ်၏ အရှုခံ နာမ်တရား.md	[1]无色摄受章	[1]b	1	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[3]a ကြိယာစိတ်များ - သတိပြုရန်.md	[1]无色摄受章	[3]a	3	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[3]b အာယတနဒွါရ - ကမ္မဒွါရ.md	[1]无色摄受章	[3]b	3	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[4] နာမ်ကမ္မဋ္ဌာန်း သိမ်းဆည်းနည်း သုံးန.md	[1]无色摄受章	[4]	4	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[7] အားလုံးကို သိမ်းဆည်းပါ.md	[1]无色摄受章	[7]	7	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[8] ရိုသေစွာ လိုက်နာရမည့် စည်းကမ်းတစ်ရပ်.md	[1]无色摄受章	[8]	8	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[11] စဉ်းစားရန် အချက်တစ်ရပ်.md	[1]无色摄受章	[11]	11	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[12] အနုပဒသုတ္တန် ကောက်နုတ်ချက်.md	[1]无色摄受章	[12]	12	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[16] (၁၆) မျိုးသော တရား.md	[1]无色摄受章	[16]	16	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[17] နေဝသညာနာသညာယတနဈာန်.md	[1]无色摄受章	[17]	17	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[18] အနုပဒဓမ္မဝိပဿနာ နှင့် ကလာပဝိပဿနာ.md	[1]无色摄受章	[18]	18	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[20] ရှေးထုံးကို မပယ်ပါနှင့်.md	[1]无色摄受章	[20]	20	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[21] အနီးကပ်ဆုံးသော အတိတ်.md	[1]无色摄受章	[21]	21	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[22] အတိတ် အနာဂတ် ပစ္စုပ္ပန်.md	[1]无色摄受章	[22]	22	vol_2/English-First-Edition-markdown/Vol 2, pg 1-50.md	glossary/subsets/Vol 2, pg 1-50.tsv
